INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
207572468,01/07/2020,17:10:00,BROOKLYN,75,0,,false,,,,18-24,M,BLACK,1016302,185652,40.676198799000076,-73.884448641999938
213649349,05/28/2020,22:11:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,990324,202686,40.723009095000066,-73.97808828999996
210337523,02/28/2020,19:00:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1038832,195935,40.70431295700007,-73.803141141999959
210706803,03/07/2020,03:00:00,QUEENS,100,0,,false,25-44,M,BLACK,45-64,F,BLACK,1040584,155310,40.59279544900005,-73.797161523999989
213472073,05/24/2020,23:14:00,BRONX,52,0,,false,,,,18-24,M,BLACK HISPANIC,1010695,254764,40.865911578000066,-73.904390851999949
214693795,06/27/2020,00:45:00,MANHATTAN,22,0,,false,25-44,M,WHITE,18-24,M,WHITE,991262,221525,40.774716718000036,-73.974684629999956
212400498,04/26/2020,02:25:00,BRONX,41,1,,false,,,,25-44,M,BLACK,1013879,239551,40.824146269000039,-73.892946482999946
211578690,03/29/2020,06:17:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1005192,180644,40.662486213000079,-73.924517574999982
211794117,04/06/2020,23:10:00,QUEENS,113,0,,false,25-44,M,BLACK,18-24,M,BLACK,1053390,194376,40.699932111000066,-73.750651220999941
212726820,05/05/2020,22:31:00,BROOKLYN,77,0,,true,18-24,M,BLACK,25-44,M,BLACK,998527,185573,40.676028472000041,-73.948530622999954
212640533,05/03/2020,04:41:00,QUEENS,113,0,,false,18-24,M,BLACK,25-44,M,BLACK,1041333,188264,40.683242112000073,-73.794185848999973
213724260,05/30/2020,20:49:00,QUEENS,113,0,,false,,,,18-24,F,BLACK,1042218,185110,40.674579367000035,-73.791022078999958
213920341,06/07/2020,01:25:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,true,,,,18-24,M,BLACK,1001311,185373,40.675474590000078,-73.938494375999937
213188079,05/15/2020,13:37:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,false,,,,65+,M,WHITE HISPANIC,998016,196598,40.706290365000029,-73.950350330999981
213885925,06/05/2020,19:20:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1053494,161530,40.60977656700004,-73.750613392999981
211671833,04/01/2020,21:40:00,BRONX,44,0,,true,45-64,M,WHITE HISPANIC,45-64,M,BLACK,1008846,245939,40.841694933000042,-73.911108192999961
214729489,06/29/2020,18:10:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,true,,,,18-24,M,BLACK,1002388,185584,40.676051596000036,-73.93461108799994
214778543,06/30/2020,23:20:00,MANHATTAN,19,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK HISPANIC,999359,224280,40.782268336000072,-73.945444228999975
214778543,06/30/2020,23:20:00,MANHATTAN,19,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,999359,224280,40.782268336000072,-73.945444228999975
214359652,06/18/2020,21:24:00,BROOKLYN,67,0,PVT HOUSE,false,,,,25-44,F,BLACK,1005301,179713,40.659930565000025,-73.924127600999952
213772738,06/02/2020,01:50:00,BRONX,46,0,,false,,,,18-24,M,BLACK,1010585,248617,40.849040238000043,-73.904812699999979
212640531,05/03/2020,00:36:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1000552,225907,40.786731898000028,-73.941132467999978
208899076,02/01/2020,05:09:00,BRONX,50,0,,false,18-24,F,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1010591,262530,40.887227151000047,-73.904736323999941
208899076,02/01/2020,05:09:00,BRONX,50,0,,false,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1010591,262530,40.887227151000047,-73.904736323999941
210156782,02/27/2020,00:38:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,UNKNOWN,1047439,156663,40.596462931000076,-73.772466408999946
214270194,06/17/2020,01:51:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1003313,176413,40.650877291000029,-73.931302246999962
214270194,06/17/2020,01:51:00,BROOKLYN,67,0,,true,,,,25-44,M,BLACK,1003313,176413,40.650877291000029,-73.931302246999962
214184459,06/13/2020,13:58:00,BROOKLYN,73,0,COMMERCIAL BLDG,false,,,,25-44,M,BLACK,1010184,182785,40.668349566000074,-73.90651606299997
213923357,06/06/2020,20:20:00,BROOKLYN,72,0,,false,,,,25-44,M,WHITE HISPANIC,981369,173656,40.643329967000057,-74.010382808999964
214574797,06/25/2020,00:49:00,BRONX,48,0,MULTI DWELL - APT BUILD,false,18-24,F,WHITE HISPANIC,18-24,U,WHITE HISPANIC,1016328,250445,40.85403855800007,-73.884045706999984
207572467,01/07/2020,23:00:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1002397,189963,40.688070936000031,-73.934566848999964
206931574,01/04/2020,05:19:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,990351,192282,40.694452556000044,-73.978000307999935
208309289,01/21/2020,12:10:00,QUEENS,100,0,,false,<18,M,BLACK,<18,M,BLACK,1042852,155178,40.592418432000045,-73.788996388999976
210792605,03/10/2020,01:37:00,BRONX,43,0,,false,,,,18-24,M,BLACK,1020734,243826,40.835854255000072,-73.868154906999962
214312113,06/17/2020,19:35:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1012586,185459,40.675681731000054,-73.897846239999978
206898906,01/01/2020,21:47:00,MANHATTAN,24,0,,true,25-44,M,BLACK,25-44,M,BLACK,995052,230496,40.799335898000038,-73.960986414999979
213942730,06/06/2020,14:20:00,QUEENS,109,0,,false,18-24,M,BLACK,18-24,M,WHITE,1025447,226867,40.789285857000039,-73.851227096999935
214184467,06/14/2020,23:05:00,BRONX,43,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1020576,243060,40.833752460000028,-73.868730036999978
213471605,05/23/2020,03:51:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1038389,189258,40.685988905000045,-73.804792564999957
213471605,05/23/2020,03:51:00,QUEENS,103,0,,false,,,,25-44,M,WHITE HISPANIC,1038389,189258,40.685988905000045,-73.804792564999957
214693786,06/28/2020,17:17:00,QUEENS,103,0,PVT HOUSE,false,,,,25-44,M,BLACK,1039595,192439,40.694712537000044,-73.800417976999938
213188082,05/17/2020,23:52:00,BRONX,46,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1005638,248319,40.848235686000066,-73.922694740999987
206898907,01/01/2020,10:29:00,BRONX,43,0,MULTI DWELL - PUBLIC HOUS,true,25-44,F,BLACK,25-44,M,BLACK,1018527,243130,40.833952779000072,-73.876134148999938
206898907,01/01/2020,10:29:00,BRONX,43,0,MULTI DWELL - PUBLIC HOUS,true,25-44,M,BLACK,25-44,M,BLACK,1018527,243130,40.833952779000072,-73.876134148999938
211964521,04/11/2020,19:58:00,BROOKLYN,77,0,,true,,,,25-44,M,BLACK,1004952,183648,40.670732087000033,-73.925373413999978
213723897,05/29/2020,20:55:00,BROOKLYN,70,0,,false,,,,25-44,M,BLACK,994979,175573,40.648585690000061,-73.961337627999967
214729182,06/29/2020,01:02:00,BROOKLYN,67,0,PVT HOUSE,false,,,,25-44,M,BLACK,997366,172348,40.639730546000067,-73.952741929999945
213187661,05/17/2020,03:09:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,997741,177573,40.654071479000038,-73.951380282999935
214430795,06/19/2020,23:00:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1016807,179007,40.657957922000037,-73.882660123999983
214215424,06/15/2020,19:15:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,F,BLACK,1009583,214399,40.755124178000074,-73.908563560999937
214215424,06/15/2020,19:15:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1009583,214399,40.755124178000074,-73.908563560999937
214430794,06/20/2020,00:58:00,BROOKLYN,79,0,,false,,,,45-64,M,BLACK,998205,190419,40.689330153000071,-73.949681447999978
214729855,06/29/2020,23:38:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,1010707,182888,40.668630731000064,-73.904630380999947
213228264,05/18/2020,00:29:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,true,,,,18-24,M,BLACK,1043031,156898,40.597138287000064,-73.788336911999977
209281497,02/08/2020,02:20:00,BROOKLYN,76,0,,true,,,,25-44,M,BLACK,983870,183741,40.671011546000045,-74.00137129999996
214430793,06/19/2020,22:04:00,BROOKLYN,75,0,PVT HOUSE,false,,,,25-44,U,BLACK,1012487,179224,40.658568369000079,-73.898229262999962
211219385,03/18/2020,22:17:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,1008575,181362,40.664448315000072,-73.912321223999982
214513026,06/23/2020,18:07:00,BROOKLYN,75,0,PVT HOUSE,false,,,,45-64,F,BLACK HISPANIC,1017728,182135,40.666540151000049,-73.879325147999964
214513025,06/23/2020,01:42:00,BRONX,44,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1004568,243052,40.833781835000025,-73.926578198999948
213747896,06/01/2020,00:30:00,MANHATTAN,5,0,,false,,,,18-24,M,WHITE,984952,202784,40.723280139000053,-73.997468832999971
207815722,01/12/2020,12:05:00,BRONX,41,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1014985,237377,40.818175478000057,-73.88896026599997
213283006,05/19/2020,03:15:00,QUEENS,114,0,,false,,,,18-24,F,BLACK,999568,215114,40.757109692000029,-73.944710438999948
214694694,06/27/2020,23:47:00,QUEENS,101,0,,false,,,,25-44,M,BLACK,1053356,155686,40.593737112000042,-73.751170196999965
214693512,06/26/2020,22:43:00,BRONX,42,0,COMMERCIAL BLDG,true,,,,18-24,M,BLACK,1010967,241149,40.828541610000059,-73.903461696999955
211066105,03/14/2020,20:18:00,BROOKLYN,83,0,,true,,,,45-64,M,BLACK,1006074,190334,40.689080943000079,-73.921307098999989
214778105,06/30/2020,20:00:00,BROOKLYN,71,0,,false,,,,18-24,M,BLACK,996658,183424,40.670132766000052,-73.955272614999956
213819783,06/03/2020,23:47:00,BROOKLYN,70,0,,false,18-24,M,WHITE,UNKNOWN,M,ASIAN / PACIFIC ISLANDER,995708,176233,40.65039633400005,-73.958709428999953
213972320,06/08/2020,15:00:00,QUEENS,110,0,,false,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1019102,210344,40.743961839000065,-73.874226376999957
213972320,06/08/2020,15:00:00,QUEENS,110,0,,false,25-44,M,BLACK HISPANIC,45-64,M,BLACK HISPANIC,1019102,210344,40.743961839000065,-73.874226376999957
212557700,04/30/2020,14:25:00,BROOKLYN,77,0,,false,,,,25-44,M,BLACK,1004196,183865,40.671329440000079,-73.928098051999939
212903586,05/10/2020,22:03:00,MANHATTAN,25,0,,true,,,,18-24,M,BLACK,1001508,232696,40.805364044000044,-73.937662762999935
213187656,05/16/2020,00:50:00,QUEENS,103,0,,false,,,,18-24,M,WHITE HISPANIC,1042298,192835,40.695782146000056,-73.790667121999945
213187656,05/16/2020,00:50:00,QUEENS,103,0,,true,,,,18-24,M,WHITE HISPANIC,1042298,192835,40.695782146000056,-73.790667121999945
213187656,05/16/2020,00:50:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1042298,192835,40.695782146000056,-73.790667121999945
213187656,05/16/2020,00:50:00,QUEENS,103,0,,true,,,,25-44,M,BLACK,1042298,192835,40.695782146000056,-73.790667121999945
211362506,03/21/2020,16:05:00,QUEENS,113,0,,false,,,,18-24,M,BLACK,1040264,190275,40.688768663000076,-73.798023450999949
